Run,Split,Attribute,Layers,N_train,N_test,R2_Mean,R2_Median,CI_95_Low,CI_95_High,Err_95
frozen_base,orig,z,1-Layer,200000,52811,0.6673,0.6674,0.6587,0.6753,0.0083
frozen_base,orig,z,2-Layer,200000,52811,0.7108,0.7109,0.7025,0.7184,0.0079
frozen_base,orig,logM*,1-Layer,163091,43098,0.8148,0.8147,0.8096,0.8199,0.0052
frozen_base,orig,logM*,2-Layer,163091,43098,0.8195,0.8195,0.8141,0.8247,0.0053
frozen_base,orig,logSFR,1-Layer,163091,43098,0.6676,0.6678,0.662,0.6733,0.0057
frozen_base,orig,logSFR,2-Layer,163091,43098,0.6685,0.6686,0.6628,0.674,0.0056
frozen_base,orig,A_v,1-Layer,163091,43098,0.5886,0.5885,0.5799,0.5974,0.0088
frozen_base,orig,A_v,2-Layer,163091,43098,0.5918,0.5919,0.5831,0.6008,0.0089
frozen_base,cond,z,1-Layer,200000,52811,0.0912,0.0912,0.0813,0.1018,0.0102
frozen_base,cond,z,2-Layer,200000,52811,0.1048,0.1045,0.0954,0.1154,0.01
frozen_base,cond,logM*,1-Layer,163091,43098,0.261,0.2611,0.2529,0.2687,0.0079
frozen_base,cond,logM*,2-Layer,163091,43098,0.2642,0.2642,0.2563,0.2718,0.0078
frozen_base,cond,logSFR,1-Layer,163091,43098,0.6033,0.6035,0.5973,0.6084,0.0055
frozen_base,cond,logSFR,2-Layer,163091,43098,0.6054,0.6055,0.5991,0.6107,0.0058
frozen_base,cond,A_v,1-Layer,163091,43098,0.5243,0.5244,0.514,0.5336,0.0098
frozen_base,cond,A_v,2-Layer,163091,43098,0.5308,0.5308,0.5205,0.5405,0.01
frozen_base,uncond,z,1-Layer,200000,52811,0.676,0.6761,0.6679,0.6837,0.0079
frozen_base,uncond,z,2-Layer,200000,52811,0.7082,0.7083,0.7,0.7157,0.0078
frozen_base,uncond,logM*,1-Layer,163091,43098,0.8067,0.8067,0.8008,0.8123,0.0058
frozen_base,uncond,logM*,2-Layer,163091,43098,0.8127,0.8128,0.8072,0.8181,0.0054
frozen_base,uncond,logSFR,1-Layer,163091,43098,0.6557,0.6557,0.6501,0.661,0.0054
frozen_base,uncond,logSFR,2-Layer,163091,43098,0.6637,0.6639,0.658,0.6692,0.0056
frozen_base,uncond,A_v,1-Layer,163091,43098,0.5793,0.5793,0.5704,0.5885,0.0091
frozen_base,uncond,A_v,2-Layer,163091,43098,0.5901,0.5901,0.5811,0.5992,0.009
